Sound Ideas	Sampler Library	0104-06-03	HARP	LOW SINGLE NOTE, G1
Sound Ideas	Sampler Library	0104-06-04	HARP	LOW SINGLE NOTE, A#1
Sound Ideas	Sampler Library	0104-06-05	HARP	LOW SINGLE NOTE, C2
Sound Ideas	Sampler Library	0104-06-06	HARP	LOW SINGLE NOTE, E2
Sound Ideas	Sampler Library	0104-07-01	HARP	GLISSANDO, B
Sound Ideas	Sampler Library	0104-07-02	HARP	GLISSANDO, D
Sound Ideas	Sampler Library	0104-07-03	HARP	GLISSANDO, A
Sound Ideas	Sampler Library	0104-07-04	HARP	GLISSANDO, C
Sound Ideas	Sampler Library	0104-07-05	HARP	GLISSANDO, D
Sound Ideas	Sampler Library	0104-07-06	HARP	GLISSANDO, A
Sound Ideas	Sampler Library	0104-08-01	HARP	CHORD, F
Sound Ideas	Sampler Library	0104-08-02	HARP	CHORD, A
Sound Ideas	Sampler Library	0104-08-03	HARP	CHORD, G
Sound Ideas	Sampler Library	0104-08-04	HARP	CHORD, D
Sound Ideas	Sampler Library	0104-08-05	HARP	CHORD, G
Sound Ideas	Sampler Library	0104-08-06	HARP	CHORD, C
Sound Ideas	Sampler Library	0104-09-01	HARPSICHORD	SINGLE NOTE, C2
Sound Ideas	Sampler Library	0104-09-02	HARPSICHORD	SINGLE NOTE, E2
Sound Ideas	Sampler Library	0104-09-03	HARPSICHORD	SINGLE NOTE, G2
Sound Ideas	Sampler Library	0104-09-04	HARPSICHORD	SINGLE NOTE, C3
Sound Ideas	Sampler Library	0104-09-05	HARPSICHORD	SINGLE NOTE, E3
Sound Ideas	Sampler Library	0104-09-06	HARPSICHORD	SINGLE NOTE, G3
Sound Ideas	Sampler Library	0104-09-07	HARPSICHORD	SINGLE NOTE, C4
Sound Ideas	Sampler Library	0104-09-08	HARPSICHORD	SINGLE NOTE, E4
Sound Ideas	Sampler Library	0104-09-09	HARPSICHORD	SINGLE NOTE, G4
Sound Ideas	Sampler Library	0104-09-10	HARPSICHORD	SINGLE NOTE, C5
Sound Ideas	Sampler Library	0104-09-11	HARPSICHORD	SINGLE NOTE, E5
Sound Ideas	Sampler Library	0104-09-12	HARPSICHORD	SINGLE NOTE, C7
Sound Ideas	Sampler Library	0104-10-01	HARPSICHORD	SINGLE MUTED NOTE, C2
Sound Ideas	Sampler Library	0104-10-02	HARPSICHORD	SINGLE MUTED NOTE, E2
Sound Ideas	Sampler Library	0104-10-03	HARPSICHORD	SINGLE MUTED NOTE, G2
Sound Ideas	Sampler Library	0104-10-04	HARPSICHORD	SINGLE MUTED NOTE, C2
Sound Ideas	Sampler Library	0104-10-05	HARPSICHORD	SINGLE MUTED NOTE, E3
Sound Ideas	Sampler Library	0104-10-06	HARPSICHORD	SINGLE MUTED NOTE, G3
Sound Ideas	Sampler Library	0104-10-07	HARPSICHORD	SINGLE MUTED NOTE, C4
Sound Ideas	Sampler Library	0104-10-08	HARPSICHORD	SINGLE MUTED NOTE, E4
