Company/Manufacturer	Product	Path/Bank	Program	Notes
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 083 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 084 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 085 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 086 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 087 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 088 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 089 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 090 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 091 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 092 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 093 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 094 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 095 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 096 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 097 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 098 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 099 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 100 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 101 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 102 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 103 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 104 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 105 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 106 BPM	
